Foreign,English,seen,correct,wrong,known
一つ,one thing,0,0,0,0
二つ,two things,0,0,0,0
円,yen,0,0,0,0
金,money,0,0,0,0
これ,this one,0,0,0,0
水曜日,Wednesday,0,0,0,0
あれ,that over there,0,0,0,0
先,ahead,0,0,0,0
八日,eight days,0,0,0,0
そば,side,0,0,0,0
こっち,this way,0,0,0,0
右,right,0,0,0,0
あげる,give,0,0,0,0
ここ,here,0,0,0,0
とても,very,0,0,0,0
七,seven,0,0,0,0
手,hand,0,0,0,0
おなか,stomach,0,0,0,0
空く,be empty,0,0,0,0
一日,1st of the month,0,0,0,0
日曜日,Sunday,0,0,0,0
七つ,seven things,0,0,0,0
どれ,what,0,0,0,0
私,I,0,0,0,0
好き,liking,0,0,0,0
ゲーム,game,0,0,0,0
一人,one,0,0,0,0
友達,friend,0,0,0,0
帰る,return,0,0,0,0
元気,healthy,0,0,0,0
天気,weather,0,0,0,0
少ない,few,0,0,0,0
晴れる,be sunny,0,0,0,0
上,up,0,0,0,0
ドア,door,0,0,0,0
開く,open,0,0,0,0
口,mouth,0,0,0,0
閉める,shut,0,0,0,0
時間,time,0,0,0,0
六日,six days,0,0,0,0
後ろ,back,0,0,0,0
十日,ten days,0,0,0,0
午前,morning,0,0,0,0
今晩,this evening,0,0,0,0
土曜日,Saturday,0,0,0,0
金曜日,Friday,0,0,0,0
月,moon,0,0,0,0
夜,night,0,0,0,0
食べる,eat,0,0,0,0
何,what,0,0,0,0
晩,evening,0,0,0,0
ご飯,cooked rice,0,0,0,0
三つ,three things,0,0,0,0
昼,daytime,0,0,0,0
見つかる,be found,0,0,0,0
それ,that,0,0,0,0
男,man,0,0,0,0
今週,this week,0,0,0,0
こう,like this,0,0,0,0
会う,meet,0,0,0,0
月曜日,Monday,0,0,0,0
昨日,yesterday,0,0,0,0
休む,to rest,0,0,0,0
今日,today,0,0,0,0
木曜日,Thursday,0,0,0,0
場合,situation,0,0,0,0
つける,switch on,0,0,0,0
駅,train station,0,0,0,0
止める,stop,0,0,0,0
歩く,walk,0,0,0,0
近く,near,0,0,0,0
もっと,more,0,0,0,0
近い,near,0,0,0,0
近く,vicinity,0,0,0,0
全部,all,0,0,0,0
国,country,0,0,0,0
漢字,character,0,0,0,0
赤い,red,0,0,0,0
どちら,which,0,0,0,0
米,rice,0,0,0,0
まずい,awful,0,0,0,0
無い,not,0,0,0,0
作る,make,0,0,0,0
使う,use,0,0,0,0
消す,switch off,0,0,0,0
閉まる,be shut,0,0,0,0
前,front,0,0,0,0
店,shop,0,0,0,0
部屋,room,0,0,0,0
夏,summer,0,0,0,0
暑い,hot,0,0,0,0
熱い,hot things,0,0,0,0
冬,winter,0,0,0,0
入る,enter,0,0,0,0
寒い,cold,0,0,0,0
春,spring,0,0,0,0
暖かい,warm,0,0,0,0
見つける,find,0,0,0,0
テーブル,table,0,0,0,0
古い,old,0,0,0,0
悪い,bad,0,0,0,0
思う,think,0,0,0,0
そう,seeming that,0,0,0,0
どう,how,0,0,0,0
考える,think,0,0,0,0
決める,decide,0,0,0,0
高い,high,0,0,0,0
多い,lots of,0,0,0,0
午後,afternoon,0,0,0,0
重い,heavy,0,0,0,0
九日,nine days,0,0,0,0
待つ,wait,0,0,0,0
二日,two days,0,0,0,0
持つ,have,0,0,0,0
朝,morning,0,0,0,0
先生,teacher,0,0,0,0
電車,train,0,0,0,0
四,four,0,0,0,0
遠い,far,0,0,0,0
名前,name,0,0,0,0
大学,university,0,0,0,0
勉強,study,0,0,0,0
強い,strong,0,0,0,0
弱い,weak,0,0,0,0
引く,draw,0,0,0,0
質問,question,0,0,0,0
難しい,difficult,0,0,0,0
取る,take,0,0,0,0
数,number,0,0,0,0
二,two,0,0,0,0
四,four,0,0,0,0
八,eight,0,0,0,0
勝つ,win,0,0,0,0
負ける,lose,0,0,0,0
本当に,really,0,0,0,0
他,other,0,0,0,0
時計,clock,0,0,0,0
八つ,eight things,0,0,0,0
払う,pay,0,0,0,0
千,thousand,0,0,0,0
四日,four days,0,0,0,0
買う,buy,0,0,0,0
十,ten,0,0,0,0
要る,need,0,0,0,0
忘れる,forget,0,0,0,0
乗る,ride,0,0,0,0
着る,wear,0,0,0,0
そこ,there,0,0,0,0
次,next,0,0,0,0
週,week,0,0,0,0
動く,move,0,0,0,0
出る,go out,0,0,0,0
早い,early,0,0,0,0
時,time,0,0,0,0
遅い,slow,0,0,0,0
始める,begin,0,0,0,0
学校,school,0,0,0,0
一,one,0,0,0,0
年,year,0,0,0,0
始まる,begin,0,0,0,0
ミーティング,meeting,0,0,0,0
終わり,end,0,0,0,0
去年,last year,0,0,0,0
切る,cut,0,0,0,0
三日,three days,0,0,0,0
見る,see,0,0,0,0
楽しむ,enjoy,0,0,0,0
飲み物,beverage,0,0,0,0
後,after,0,0,0,0
見せる,show,0,0,0,0
色,color,0,0,0,0
直ぐ,at once,0,0,0,0
書き直す,rewrite,0,0,0,0
直る,be repaired,0,0,0,0
道,road,0,0,0,0
線,line,0,0,0,0
曲がる,turn,0,0,0,0
左,left,0,0,0,0
曜日,day of the week,0,0,0,0
今年,this year,0,0,0,0
五,five,0,0,0,0
行く,go,0,0,0,0
図書館,library,0,0,0,0
未だ,yet,0,0,0,0
ところ,place,0,0,0,0
泊まる,stay overnight,0,0,0,0
家,house,0,0,0,0
安い,inexpensive,0,0,0,0
服,clothes,0,0,0,0
開ける,open,0,0,0,0
お父さん,father,0,0,0,0
父,father,0,0,0,0
話す,speak,0,0,0,0
母,mother,0,0,0,0
働く,work,0,0,0,0
姉,older sister,0,0,0,0
大学生,university student,0,0,0,0
お姉さん,older sister,0,0,0,0
上手,good,0,0,0,0
妹,younger sister,0,0,0,0
お兄さん,older brother,0,0,0,0
車,car,0,0,0,0
高校生,high school student,0,0,0,0
娘,daughter,0,0,0,0
九つ,nine things,0,0,0,0
息子,son,0,0,0,0
六つ,six things,0,0,0,0
女,woman,0,0,0,0
新しい,new,0,0,0,0
今,now,0,0,0,0
もう,already,0,0,0,0
学生,student,0,0,0,0
よく,often,0,0,0,0
彼女,she,0,0,0,0
聞く,hear,0,0,0,0
若い,young,0,0,0,0
かなり,fairly,0,0,0,0
住む,live,0,0,0,0
立つ,stand,0,0,0,0
気持ち,feeling,0,0,0,0
広い,wide,0,0,0,0
走る,run,0,0,0,0
売る,sell,0,0,0,0
教える,teach,0,0,0,0
送る,send,0,0,0,0
書く,write,0,0,0,0
もらう,receive,0,0,0,0
足,leg,0,0,0,0
出来る,can do,0,0,0,0
短い,short,0,0,0,0
いつも,always,0,0,0,0
読む,read,0,0,0,0
いつ,when,0,0,0,0
速い,fast,0,0,0,0
耳,ear,0,0,0,0
上げる,raise,0,0,0,0
楽しい,fun,0,0,0,0
しゃべる,chat,0,0,0,0
三,three,0,0,0,0
来る,come,0,0,0,0
良い,good,0,0,0,0
方,direction,0,0,0,0
目,eye,0,0,0,0
六,six,0,0,0,0
秋,autumn,0,0,0,0
結婚,marriage,0,0,0,0
日,day,0,0,0,0
自転車,bicycle,0,0,0,0
自分,self,0,0,0,0
ご主人,your husband,0,0,0,0
終わる,finish,0,0,0,0
火曜日,Tuesday,0,0,0,0
違う,differ,0,0,0,0
答える,answer,0,0,0,0
別,another,0,0,0,0
なる,become,0,0,0,0
ため,sake,0,0,0,0
白い,white,0,0,0,0
閉じる,close,0,0,0,0
出す,take out,0,0,0,0
仕事,work,0,0,0,0
今月,this month,0,0,0,0
少し,a bit,0,0,0,0
酒,alcoholic drink,0,0,0,0
飲む,drink,0,0,0,0
大人,adult,0,0,0,0
水,water,0,0,0,0
一杯,full,0,0,0,0
気,spirit,0,0,0,0
分かる,understand,0,0,0,0
遊ぶ,play,0,0,0,0
飛行機,airplane,0,0,0,0
お願い,favor,0,0,0,0
続く,continue,0,0,0,0
首,neck,0,0,0,0
頭,head,0,0,0,0
痛い,painful,0,0,0,0
探す,search for,0,0,0,0
お手洗い,toilet,0,0,0,0
冷たい,cold things,0,0,0,0
汚い,dirty,0,0,0,0
太い,thick,0,0,0,0
九,nine,0,0,0,0
弟,younger brother,0,0,0,0
神,god,0,0,0,0
建てる,build,0,0,0,0
大きい,big,0,0,0,0
同じ,same,0,0,0,0
どこ,where,0,0,0,0
置く,put,0,0,0,0
あそこ,over there,0,0,0,0
辺,vicinity,0,0,0,0
黄色い,yellow,0,0,0,0
する,do,0,0,0,0
やる,do,0,0,0,0
一緒に,together,0,0,0,0
来年,next year,0,0,0,0
緑,green,0,0,0,0
易しい,easy,0,0,0,0
留学生,student studying abroad,0,0,0,0
戻る,return,0,0,0,0
起きる,get up,0,0,0,0
起こる,happen,0,0,0,0
起こす,wake up,0,0,0,0
起きる,occur,0,0,0,0
寝る,sleep,0,0,0,0
多分,probably,0,0,0,0
座る,sit,0,0,0,0
本,book,0,0,0,0
細い,thin,0,0,0,0
日記,diary,0,0,0,0
時々,sometimes,0,0,0,0
締める,tighten,0,0,0,0
甘い,sweet,0,0,0,0
辛い,spicy,0,0,0,0
変える,change,0,0,0,0
決まる,be decided,0,0,0,0
優しい,gentle,0,0,0,0
人,person,0,0,0,0
夫,husband,0,0,0,0
知る,know,0,0,0,0
誰,who,0,0,0,0
親,parent,0,0,0,0
愛する,love,0,0,0,0
くれる,be given,0,0,0,0
二十日,20 days,0,0,0,0
妻,wife,0,0,0,0
五日,five days,0,0,0,0
どうして,why,0,0,0,0
見える,be visible,0,0,0,0
兄,older brother,0,0,0,0
酸っぱい,sour,0,0,0,0
小さい,small,0,0,0,0
言葉,word,0,0,0,0
おいしい,tasty,0,0,0,0
呼ぶ,call,0,0,0,0
胸,chest,0,0,0,0
腰,hip,0,0,0,0
載せる,place,0,0,0,0
低い,low,0,0,0,0
一番,most,0,0,0,0
背,height,0,0,0,0
円,yen,0,0,0,0
覚える,memorize,0,0,0,0
片仮名,katakana,0,0,0,0
平仮名,hiragana,0,0,0,0
悲しい,sad,0,0,0,0
美しい,beautiful,0,0,0,0
食べ物,food,0,0,0,0
言う,say,0,0,0,0
彼,he,0,0,0,0
授業,class,0,0,0,0
お母さん,mother,0,0,0,0
手伝う,help,0,0,0,0
飛ぶ,fly,0,0,0,0
歌う,sing,0,0,0,0
死ぬ,die,0,0,0,0
大好き,love,0,0,0,0
子供,child,0,0,0,0
狭い,narrow,0,0,0,0
触る,touch,0,0,0,0
嫌い,dislike,0,0,0,0
七日,seven days,0,0,0,0
有る,exist,0,0,0,0
浴びる,take,0,0,0,0
生きる,to live,0,0,0,0
長い,long,0,0,0,0
髪の毛,hair,0,0,0,0
鼻,nose,0,0,0,0
腕,arm,0,0,0,0
四つ,four things,0,0,0,0
みんな,all,0,0,0,0
笑う,laugh,0,0,0,0
紙,paper,0,0,0,0
下,under,0,0,0,0
入れる,put in,0,0,0,0
よう,way,0,0,0,0
掛ける,hang,0,0,0,0
肩,shoulder,0,0,0,0
僕,I,0,0,0,0
曇る,become cloudy,0,0,0,0
駄目,no good,0,0,0,0
上る,go up,0,0,0,0
落ちる,fall,0,0,0,0
体,body,0,0,0,0
大丈夫,alright,0,0,0,0
病気,illness,0,0,0,0
百,hundred,0,0,0,0
風邪,cold,0,0,0,0
五つ,five things,0,0,0,0
顔,face,0,0,0,0
軽い,light,0,0,0,0
茶色,light brown,0,0,0,0
欲しい,want,0,0,0,0
万,ten thousand,0,0,0,0
奇麗,beautiful,0,0,0,0
渇く,be thirsty,0,0,0,0
嬉しい,happy,0,0,0,0
感じる,feel,0,0,0,0
なる,become,0,0,0,0
りんご,apple,0,0,0,0
ほとんど,almost,0,0,0,0
十分,full,0,0,0,0
分,amount,0,0,0,0
スポーツ,sport,0,0,0,0
今まで,until now,0,0,0,0
