Foreign,English,seen,correct,wrong,known
de,of,0,0,0,0
la,the,0,0,0,0
et,and,0,0,0,0
le,the,0,0,0,0
les,the,0,0,0,0
à,to,0,0,0,0
des,of the,0,0,0,0
en,in,0,0,0,0
un,a,0,0,0,0
est,is,0,0,0,0
que,that,0,0,0,0
une,a,0,0,0,0
pour,For,0,0,0,0
il,he,0,0,0,0
qui,which,0,0,0,0
dans,into,0,0,0,0
a,has,0,0,0,0
pas,not,0,0,0,0
sur,on,0,0,0,0
je,I,0,0,0,0
ce,this,0,0,0,0
par,by,0,0,0,0
plus,more,0,0,0,0
ne,not,0,0,0,0
avec,with,0,0,0,0
se,oneself,0,0,0,0
vous,you all,0,0,0,0
mais,but,0,0,0,0
ou,or,0,0,0,0
on,we,0,0,0,0
son,its,0,0,0,0
elle,she,0,0,0,0
nous,we,0,0,0,0
sont,are,0,0,0,0
tout,all,0,0,0,0
comme,as,0,0,0,0
cette,this,0,0,0,0
si,if,0,0,0,0
bien,good,0,0,0,0
sa,its,0,0,0,0
y,and,0,0,0,0
être,to be,0,0,0,0
fait,to do,0,0,0,0
ont,have,0,0,0,0
même,even,0,0,0,0
faire,to do,0,0,0,0
ses,his,0,0,0,0
était,was,0,0,0,0
ai,have,0,0,0,0
ils,they,0,0,0,0
lui,him,0,0,0,0
ces,these,0,0,0,0
leur,their,0,0,0,0
aussi,Also,0,0,0,0
me,me,0,0,0,0
été,summer,0,0,0,0
très,very,0,0,0,0
sans,without,0,0,0,0
peut,can,0,0,0,0
deux,two,0,0,0,0
votre,your,0,0,0,0
tous,all,0,0,0,0
avait,had,0,0,0,0
tu,you,0,0,0,0
autres,others,0,0,0,0
peu,little,0,0,0,0
ça,That,0,0,0,0
donc,so,0,0,0,0
alors,so,0,0,0,0
mon,My,0,0,0,0
temps,time,0,0,0,0
encore,again,0,0,0,0
entre,between,0,0,0,0
avoir,to have,0,0,0,0
où,or,0,0,0,0
autre,other,0,0,0,0
après,After,0,0,0,0
quand,When,0,0,0,0
ainsi,Thus,0,0,0,0
cela,that,0,0,0,0
non,No,0,0,0,0
notre,OUR,0,0,0,0
suis,am,0,0,0,0
fois,times,0,0,0,0
avant,Before,0,0,0,0
moi,Me,0,0,0,0
toujours,always,0,0,0,0
leurs,their,0,0,0,0
monde,world,0,0,0,0
car,because,0,0,0,0
moins,less,0,0,0,0
depuis,since,0,0,0,0
ans,years,0,0,0,0
dont,whose,0,0,0,0
bon,Good,0,0,0,0
vie,life,0,0,0,0
quelques,a few,0,0,0,0
ma,my,0,0,0,0
soit,either,0,0,0,0
sous,below,0,0,0,0
beaucoup,a lot,0,0,0,0
toute,all,0,0,0,0
contre,against,0,0,0,0
va,go,0,0,0,0
voir,see,0,0,0,0
dit,said,0,0,0,0
faut,must,0,0,0,0
rien,Nothing,0,0,0,0
là,there,0,0,0,0
toutes,all,0,0,0,0
dire,say,0,0,0,0
cas,case,0,0,0,0
nos,our,0,0,0,0
puis,Then,0,0,0,0
sera,will be,0,0,0,0
site,site,0,0,0,0
trop,too much,0,0,0,0
vers,towards,0,0,0,0
grand,big,0,0,0,0
France,France,0,0,0,0
jour,day,0,0,0,0
déjà,Already,0,0,0,0
pays,country,0,0,0,0
chaque,each,0,0,0,0
place,place,0,0,0,0
également,also,0,0,0,0
vos,your,0,0,0,0
jamais,Never,0,0,0,0
mes,my,0,0,0,0
chez,at the house of,0,0,0,0
cet,this,0,0,0,0
petit,little,0,0,0,0
doit,must,0,0,0,0
travail,work,0,0,0,0
vraiment,Really,0,0,0,0
plusieurs,several,0,0,0,0
premier,first,0,0,0,0
elles,they,0,0,0,0
homme,man,0,0,0,0
chose,thing,0,0,0,0
partie,part,0,0,0,0
ceux,those,0,0,0,0
personnes,people,0,0,0,0
part,leaves,0,0,0,0
moment,moment,0,0,0,0
trois,three,0,0,0,0
ici,here,0,0,0,0
comment,how,0,0,0,0
personne,person,0,0,0,0
bonne,Good,0,0,0,0
grande,big,0,0,0,0
mois,month,0,0,0,0
fin,END,0,0,0,0
première,first,0,0,0,0
point,point,0,0,0,0
nouveau,new,0,0,0,0
année,year,0,0,0,0
pendant,during,0,0,0,0
peuvent,can,0,0,0,0
prendre,take,0,0,0,0
souvent,often,0,0,0,0
mal,wrong,0,0,0,0
enfin,Finally,0,0,0,0
jours,days,0,0,0,0
effet,effect,0,0,0,0
certains,some,0,0,0,0
mieux,better,0,0,0,0
afin,in order to,0,0,0,0
te,you,0,0,0,0
années,years,0,0,0,0
selon,according to,0,0,0,0
eu,had,0,0,0,0
histoire,history,0,0,0,0
surtout,Above all,0,0,0,0
nouvelle,new,0,0,0,0
compte,account,0,0,0,0
ligne,line,0,0,0,0
lors,during,0,0,0,0
mettre,put,0,0,0,0
jeu,game,0,0,0,0
cours,course,0,0,0,0
avons,have,0,0,0,0
suite,following,0,0,0,0
question,question,0,0,0,0
juste,just,0,0,0,0
prix,price,0,0,0,0
reste,stay,0,0,0,0
pouvoir,power,0,0,0,0
enfants,children,0,0,0,0
pourquoi,Why,0,0,0,0
exemple,example,0,0,0,0
étaient,were,0,0,0,0
tant,so much,0,0,0,0
celui,the one,0,0,0,0
jeune,young,0,0,0,0
lieu,place,0,0,0,0
oui,Yes,0,0,0,0
nombre,number,0,0,0,0
maintenant,NOW,0,0,0,0
niveau,level,0,0,0,0
gens,people,0,0,0,0
groupe,band,0,0,0,0
maison,House,0,0,0,0
eau,water,0,0,0,0
savoir,know,0,0,0,0
seul,alone,0,0,0,0
quoi,What,0,0,0,0
dernier,last,0,0,0,0
droit,right,0,0,0,0
avez,have,0,0,0,0
vu,seen,0,0,0,0
petite,small,0,0,0,0
nom,name,0,0,0,0
quelque,some,0,0,0,0
assez,enough,0,0,0,0
serait,would be,0,0,0,0
ni,neither,0,0,0,0
devant,in front,0,0,0,0
seulement,only,0,0,0,0
eux,them,0,0,0,0
ensemble,together,0,0,0,0
ville,city,0,0,0,0
français,French,0,0,0,0
politique,policy,0,0,0,0
besoin,need,0,0,0,0
internet,Internet,0,0,0,0
ton,your,0,0,0,0
trouve,find,0,0,0,0
dieu,God,0,0,0,0
recherche,research,0,0,0,0
façon,way,0,0,0,0
permet,allow,0,0,0,0
projet,project,0,0,0,0
aller,go,0,0,0,0
coup,cut,0,0,0,0
sens,sense,0,0,0,0
tête,head,0,0,0,0
possible,possible,0,0,0,0
système,system,0,0,0,0
mise,putting,0,0,0,0
femme,women,0,0,0,0
aurait,would have,0,0,0,0
celle,that,0,0,0,0
lorsque,when,0,0,0,0
fut,was,0,0,0,0
choses,things,0,0,0,0
raison,reason,0,0,0,0
face,face,0,0,0,0
demande,request,0,0,0,0
partir,leave,0,0,0,0
peut-être,maybe,0,0,0,0
pense,think,0,0,0,0
merci,THANKS,0,0,0,0
service,service,0,0,0,0
corps,body,0,0,0,0
rapport,report,0,0,0,0
trouver,find,0,0,0,0
société,Company,0,0,0,0
pourrait,could,0,0,0,0
état,state,0,0,0,0
côté,side,0,0,0,0
pouvez,can,0,0,0,0
sujet,subject,0,0,0,0
jeux,games,0,0,0,0
web,web,0,0,0,0
avais,had,0,0,0,0
yeux,eyes,0,0,0,0
sais,know,0,0,0,0
ensuite,Next,0,0,0,0
main,hand,0,0,0,0
famille,family,0,0,0,0
Paris,Paris,0,0,0,0
toi,You,0,0,0,0
aucun,none,0,0,0,0
mis,put,0,0,0,0
près,close,0,0,0,0
forme,shape,0,0,0,0
hommes,men,0,0,0,0
font,make,0,0,0,0
plutôt,instead,0,0,0,0
passer,pass,0,0,0,0
dès,of the,0,0,0,0
développement,development,0,0,0,0
article,article,0,0,0,0
donner,give,0,0,0,0
etc,etc,0,0,0,0
vrai,TRUE,0,0,0,0
produits,products,0,0,0,0
loin,far,0,0,0,0
notamment,notably,0,0,0,0
services,services,0,0,0,0
choix,choice,0,0,0,0
seule,alone,0,0,0,0
jeunes,young people,0,0,0,0
grâce,grace,0,0,0,0
simple,simple,0,0,0,0
équipe,team,0,0,0,0
pu,could,0,0,0,0
air,air,0,0,0,0
début,beginning,0,0,0,0
as,ace,0,0,0,0
aide,help,0,0,0,0
entreprise,business,0,0,0,0
qualité,quality,0,0,0,0
vue,view,0,0,0,0
manière,manner,0,0,0,0
problème,issue,0,0,0,0
pris,taken,0,0,0,0
président,president,0,0,0,0
sommes,are,0,0,0,0
veut,wanna,0,0,0,0
seront,will be,0,0,0,0
ayant,having,0,0,0,0
mort,dead,0,0,0,0
conseil,advice,0,0,0,0
terre,earth,0,0,0,0
heures,hours,0,0,0,0
long,long,0,0,0,0
étant,being,0,0,0,0
avaient,had,0,0,0,0
passe,pass,0,0,0,0
aime,love,0,0,0,0
centre,center,0,0,0,0
tour,round,0,0,0,0
