Foreign,English,seen,correct,wrong,known
的de,"possessive, adjectival suffix",0,0,0,0
一yī,one,0,0,0,0
是shì,"indeed, yes, right",0,0,0,0
不bù,"no, not",0,0,0,0
了le,to finish,0,0,0,0
在zài,"be at, in, on",0,0,0,0
人rén,man,0,0,0,0
有yǒu,"have, own, possess",0,0,0,0
我wǒ,"our, us, i, me, my, we",0,0,0,0
他tā,"other, another",0,0,0,0
这zhè,"this, the, here",0,0,0,0
个gè,"numerary adjunct, piece",0,0,0,0
们men,adjunct pronoun indicate plural,0,0,0,0
中zhōng,central,0,0,0,0
来lái,"come, coming",0,0,0,0
上shàng,top,0,0,0,0
大dà,"big, great, vast, large, high",0,0,0,0
为wèi,"do, handle, govern, act",0,0,0,0
和hé,"harmony, peace",0,0,0,0
国guó,"nation, country, nation-state",0,0,0,0
地de,earth,0,0,0,0
到dào,"go to, arrive, been to",0,0,0,0
以yǐ,by means of,0,0,0,0
说shuō,"speak, say, talk",0,0,0,0
时shí,"time, season",0,0,0,0
要yào,"necessary, essential",0,0,0,0
就jiù,"just, simply",0,0,0,0
出chū,"go out, send out",0,0,0,0
会huì,"assemble, meet together",0,0,0,0
可kě,"may, can, -able",0,0,0,0
也yě,also,0,0,0,0
你nǐ,"you, second person pronoun",0,0,0,0
对duì,"correct, right",0,0,0,0
生shēng,"life, living, lifetime",0,0,0,0
能néng,to be able,0,0,0,0
而ér,and,0,0,0,0
子zi,"offspring, child",0,0,0,0
那nà,"that, that one, those",0,0,0,0
得dé,"obtain, get, gain, acquire",0,0,0,0
于yú,"in, on, at",0,0,0,0
着zhe,"make move, take action",0,0,0,0
下xià,"under, underneath, below",0,0,0,0
自zì,"self, private, personal",0,0,0,0
之zhī,marks preceding phrase as modifier of following phrase,0,0,0,0
年nián,,0,0,0,0
过guò,"pass, pass through, go across",0,0,0,0
发fā,"issue, dispatch, send out",0,0,0,0
后hòu,"queen, empress, sovereign",0,0,0,0
作zuò,make,0,0,0,0
里lǐ,unit of distance,0,0,0,0
用yòng,"use, employ, apply, operate",0,0,0,0
道dào,"path, road, street",0,0,0,0
行xíng,go,0,0,0,0
所suǒ,"place, location",0,0,0,0
然rán,"yes, certainly",0,0,0,0
家jiā,"house, home, residence",0,0,0,0
种zhǒng,seed,0,0,0,0
事shì,"affair, matter, business",0,0,0,0
成chéng,"completed, finished, fixed",0,0,0,0
方fāng,"a square, rectangle",0,0,0,0
多duō,"much, many",0,0,0,0
经jīng,classic works,0,0,0,0
么me,interrogative particle,0,0,0,0
去qù,"go away, leave, depart",0,0,0,0
法fǎ,"law, rule, regulation, statute",0,0,0,0
学xué,"learning, knowledge",0,0,0,0
如rú,"if, supposing",0,0,0,0
都dōu,"metropolis, capital",0,0,0,0
同tóng,"same, similar",0,0,0,0
现xiàn,"appear, manifest, become visible",0,0,0,0
当dāng,"bear, accept, undertake",0,0,0,0
没méi,"not, have not, none",0,0,0,0
动dòng,"move, happen",0,0,0,0
面miàn,face,0,0,0,0
起qǐ,"rise, stand up",0,0,0,0
看kàn,"look, see",0,0,0,0
定dìng,"decide, settle, fix",0,0,0,0
天tiān,"sky, heaven",0,0,0,0
分fēn,divide,0,0,0,0
还hái,"still, yet, also, besides",0,0,0,0
进jìn,"advance, make progress, enter",0,0,0,0
好hǎo,"good, excellent, fine",0,0,0,0
小xiǎo,"small, tiny, insignificant",0,0,0,0
部bù,"part, division, section",0,0,0,0
其qí,"his, her, its, their",0,0,0,0
些xiē,"little, few",0,0,0,0
主zhǔ,"master, chief owner",0,0,0,0
样yàng,"shape, form, pattern, style",0,0,0,0
理lǐ,"reason, logic",0,0,0,0
心xīn,heart,0,0,0,0
她tā,"she, her",0,0,0,0
本běn,"root, origin, source",0,0,0,0
前qián,"in front, forward",0,0,0,0
开kāi,open,0,0,0,0
但dàn,only,0,0,0,0
因yīn,"cause, reason",0,0,0,0
只zhǐ,"only, just, simply",0,0,0,0
